Assay_Type_s	AssemblyName_s	BioSample_s	Consent_s	InsertSize_l	Library_Name_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	analyte_type_s	body_site_s	gap_consent_code_s	gap_sample_id_s	gap_subject_id_s	histological_type_s	is_tumor_s	molecular_data_type_s	sex_s	submitted_sample_id_s	submitted_subject_id_s	BioProject_s	BioSampleModel_s	Center_Name_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	gap_accession_s	source_s	study_design_s	study_name_s	submitter_handle_s
RNA-Seq	HG19_Broad_variant	SAMN02788205	none	150	Solexa-230544	6280	3116	SRR1341683	SRS627933	GTEX-11GSP-2526-SM-5N9BP	RNA:Total RNA	Skin - Sun Exposed (Lower leg)	<not provided>	1267763	984955	Skin	No	RNA Expression (NGS)	female	GTEX-11GSP-2526-SM-5N9BP	GTEX-11GSP	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02788258	none	150	Solexa-229103	5191	2570	SRR1341702	SRS627934	GTEX-13JVG-3126-SM-5L3FH	RNA:Total RNA	Brain - Cortex	<not provided>	1269799	985064	Brain	No	RNA Expression (NGS)	male	GTEX-13JVG-3126-SM-5L3FH	GTEX-13JVG	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02792361	none	150	Solexa-229363	8261	4054	SRR1341721	SRS627935	GTEX-144GN-1126-SM-5LU33	RNA:Total RNA	Colon - Transverse	<not provided>	1270841	985122	Colon	No	RNA Expression (NGS)	male	GTEX-144GN-1126-SM-5LU33	GTEX-144GN	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02790257	none	150	Solexa-182809	7503	3547	SRR1341739	SRS627936	GTEX-Y111-0526-SM-4TT3M	RNA:Total RNA	Nerve - Tibial	<not provided>	1272130	985175	Nerve	No	RNA Expression (NGS)	male	GTEX-Y111-0526-SM-4TT3M	GTEX-Y111	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02788345	none	150	Solexa-194796	8104	4105	SRR1341763	SRS627937	GTEX-ZUA1-0011-R10a-SM-51MT6	RNA:Total RNA	Brain - Frontal Cortex (BA9)	<not provided>	1273349	985237	Brain	No	RNA Expression (NGS)	male	GTEX-ZUA1-0011-R10a-SM-51MT6	GTEX-ZUA1	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02790319	none	150	Solexa-231545	7759	3940	SRR1341787	SRS627938	GTEX-13YAN-0626-SM-5O9BQ	RNA:Total RNA	Nerve - Tibial	<not provided>	1270774	985117	Nerve	No	RNA Expression (NGS)	male	GTEX-13YAN-0626-SM-5O9BQ	GTEX-13YAN	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02790015	none	150	Solexa-231155	8146	4010	SRR1341809	SRS627939	GTEX-14A5I-0426-SM-5NQ9V	RNA:Total RNA	Nerve - Tibial	<not provided>	1271214	985148	Nerve	No	RNA Expression (NGS)	female	GTEX-14A5I-0426-SM-5NQ9V	GTEX-14A5I	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02789431	none	150	Solexa-230643	7415	3672	SRR1341833	SRS627941	GTEX-133LE-0526-SM-5N9EJ	RNA:Total RNA	Lung	<not provided>	1269191	985029	Lung	No	RNA Expression (NGS)	female	GTEX-133LE-0526-SM-5N9EJ	GTEX-133LE	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02788646	none	150	Solexa-212843	7129	3325	SRR1341854	SRS627942	GTEX-11EM3-0326-SM-5A5KJ	RNA:Total RNA	Adrenal Gland	<not provided>	1267620	984949	Adrenal Gland	No	RNA Expression (NGS)	female	GTEX-11EM3-0326-SM-5A5KJ	GTEX-11EM3	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02788313	none	150	Solexa-224504	5355	2592	SRR1341877	SRS627945	GTEX-13N2G-0926-SM-5IFGJ	RNA:Total RNA	Liver	<not provided>	1269863	985067	Liver	No	RNA Expression (NGS)	male	GTEX-13N2G-0926-SM-5IFGJ	GTEX-13N2G	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02791857	none	150	Solexa-228583	6391	3207	SRR1341898	SRS627946	GTEX-13JVG-0011-R1a-SM-5KM32	RNA:Total RNA	Brain - Hippocampus	<not provided>	1269780	985064	Brain	No	RNA Expression (NGS)	male	GTEX-13JVG-0011-R1a-SM-5KM32	GTEX-13JVG	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02792383	none	150	Solexa-176043	5505	2399	SRR1341921	SRS627947	GTEX-X4LF-0626-SM-4QASB	RNA:Total RNA	Esophagus - Mucosa	<not provided>	1272070	721010	Esophagus	No	RNA Expression (NGS)	male	GTEX-X4LF-0626-SM-4QASB	GTEX-X4LF	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02793271	none	150	Solexa-233073	4764	2026	SRR1341945	SRS627948	GTEX-14E6E-1726-SM-5S2R6	RNA:Total RNA	Colon - Sigmoid	<not provided>	1271415	985167	Colon	No	RNA Expression (NGS)	male	GTEX-14E6E-1726-SM-5S2R6	GTEX-14E6E	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02787657	none	150	Solexa-228524	6062	3104	SRR1341965	SRS627949	GTEX-1399U-0726-SM-5KM1D	RNA:Total RNA	Heart - Atrial Appendage	<not provided>	1269288	985034	Heart	No	RNA Expression (NGS)	female	GTEX-1399U-0726-SM-5KM1D	GTEX-1399U	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02790826	none	150	Solexa-230614	5888	2899	SRR1341983	SRS627950	GTEX-11EQ8-0426-SM-5N9DP	RNA:Total RNA	Artery - Tibial	<not provided>	1267667	984951	Blood Vessel	No	RNA Expression (NGS)	male	GTEX-11EQ8-0426-SM-5N9DP	GTEX-11EQ8	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02790988	none	150	Solexa-232253	7546	3746	SRR1342002	SRS627951	GTEX-133LE-0226-SM-5PNY3	RNA:Total RNA	Artery - Aorta	<not provided>	1269189	985029	Blood Vessel	No	RNA Expression (NGS)	female	GTEX-133LE-0226-SM-5PNY3	GTEX-133LE	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02791032	none	150	Solexa-206519	6372	3259	SRR1342023	SRS627952	GTEX-11GSP-0726-SM-5986L	RNA:Total RNA	Lung	<not provided>	1267752	984955	Lung	No	RNA Expression (NGS)	female	GTEX-11GSP-0726-SM-5986L	GTEX-11GSP	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02787212	none	150	Solexa-211574	6432	3318	SRR1342045	SRS627953	GTEX-11ZUS-0011-R10b-SM-5BC79	RNA:Total RNA	Brain - Frontal Cortex (BA9)	<not provided>	1268287	984983	Brain	No	RNA Expression (NGS)	male	GTEX-11ZUS-0011-R10b-SM-5BC79	GTEX-11ZUS	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02792047	none	150	Solexa-230260	4658	2193	SRR1342067	SRS627954	GTEX-139TU-1426-SM-5LZY9	RNA:Total RNA	Adipose - Visceral (Omentum)	<not provided>	1269403	985041	Adipose Tissue	No	RNA Expression (NGS)	male	GTEX-139TU-1426-SM-5LZY9	GTEX-139TU	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02790888	none	150	Solexa-222974	5241	2396	SRR1342088	SRS627955	GTEX-ZAJG-0726-SM-5HL9A	RNA:Total RNA	Thyroid	<not provided>	1272741	985204	Thyroid	No	RNA Expression (NGS)	female	GTEX-ZAJG-0726-SM-5HL9A	GTEX-ZAJG	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02789983	none	150	Solexa-232855	5828	2587	SRR1342701	SRS628338	GTEX-14C39-0726-SM-5RQIK	RNA:Total RNA	Heart - Atrial Appendage	<not provided>	1271355	985160	Heart	No	RNA Expression (NGS)	male	GTEX-14C39-0726-SM-5RQIK	GTEX-14C39	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02793552	none	150	Solexa-227242	5707	2894	SRR1342721	SRS628339	GTEX-1399U-1226-SM-5K7XT	RNA:Total RNA	Esophagus - Muscularis	<not provided>	1269293	985034	Esophagus	No	RNA Expression (NGS)	female	GTEX-1399U-1226-SM-5K7XT	GTEX-1399U	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02789671	none	150	Solexa-229105	5766	2813	SRR1342739	SRS628340	GTEX-1399T-2426-SM-5L3FJ	RNA:Total RNA	Muscle - Skeletal	<not provided>	1269274	985033	Muscle	No	RNA Expression (NGS)	male	GTEX-1399T-2426-SM-5L3FJ	GTEX-1399T	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02791981	none	150	Solexa-189882	9513	4853	SRR1342758	SRS628341	GTEX-YFCO-1826-SM-4W1YH	RNA:Total RNA	Breast - Mammary Tissue	<not provided>	1272578	985194	Breast	No	RNA Expression (NGS)	male	GTEX-YFCO-1826-SM-4W1YH	GTEX-YFCO	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02791435	none	150	Solexa-187557	9711	4848	SRR1342782	SRS628342	GTEX-Y8E4-1026-SM-4VBQ5	RNA:Total RNA	Muscle - Skeletal	<not provided>	1272321	985183	Muscle	No	RNA Expression (NGS)	male	GTEX-Y8E4-1026-SM-4VBQ5	GTEX-Y8E4	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02789519	none	150	Solexa-212847	6119	2851	SRR1342806	SRS628343	GTEX-11EM3-1526-SM-5A5KN	RNA:Total RNA	Colon - Transverse	<not provided>	1267631	984949	Colon	No	RNA Expression (NGS)	female	GTEX-11EM3-1526-SM-5A5KN	GTEX-11EM3	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02793452	none	150	Solexa-230550	6885	3407	SRR1342829	SRS628344	GTEX-ZZPU-0226-SM-5N9BV	RNA:Total RNA	Artery - Aorta	<not provided>	1273808	985265	Blood Vessel	No	RNA Expression (NGS)	female	GTEX-ZZPU-0226-SM-5N9BV	GTEX-ZZPU	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02790945	none	150	Solexa-234724	5924	2691	SRR1342849	SRS628345	GTEX-13X6H-1026-SM-5SIBE	RNA:Total RNA	Ovary	<not provided>	1270707	985113	Ovary	No	RNA Expression (NGS)	female	GTEX-13X6H-1026-SM-5SIBE	GTEX-13X6H	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02792515	none	150	Solexa-230542	6585	3245	SRR1342873	SRS628346	GTEX-11DZ1-0326-SM-5N9BN	RNA:Total RNA	Breast - Mammary Tissue	<not provided>	1267591	984947	Breast	No	RNA Expression (NGS)	male	GTEX-11DZ1-0326-SM-5N9BN	GTEX-11DZ1	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02793121	none	150	Solexa-221218	6616	2813	SRR1342916	SRS628348	GTEX-ZVT2-1026-SM-5GU55	RNA:Total RNA	Heart - Left Ventricle	<not provided>	1273470	985244	Heart	No	RNA Expression (NGS)	female	GTEX-ZVT2-1026-SM-5GU55	GTEX-ZVT2	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02791329	none	150	Solexa-221269	4363	1845	SRR1342938	SRS628349	GTEX-11UD2-0626-SM-5GU6L	RNA:Total RNA	Thyroid	<not provided>	1268139	984975	Thyroid	No	RNA Expression (NGS)	male	GTEX-11UD2-0626-SM-5GU6L	GTEX-11UD2	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02791478	none	150	Solexa-224710	6070	3278	SRR1342960	SRS628350	GTEX-13FTW-1826-SM-5IJEN	RNA:Total RNA	Colon - Transverse	<not provided>	1269655	985056	Colon	No	RNA Expression (NGS)	male	GTEX-13FTW-1826-SM-5IJEN	GTEX-13FTW	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02789841	none	150	Solexa-228479	6506	3355	SRR1342977	SRS628351	GTEX-13OVG-1026-SM-5KLZ3	RNA:Total RNA	Esophagus - Gastroesophageal Junction	<not provided>	1270125	985081	Esophagus	No	RNA Expression (NGS)	male	GTEX-13OVG-1026-SM-5KLZ3	GTEX-13OVG	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02787201	none	150	Solexa-224712	6028	3270	SRR1342995	SRS628352	GTEX-13N1W-2626-SM-5IJEP	RNA:Total RNA	Testis	<not provided>	1269846	985066	Testis	No	RNA Expression (NGS)	male	GTEX-13N1W-2626-SM-5IJEP	GTEX-13N1W	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02793655	none	150	Solexa-229282	5555	2586	SRR1343012	SRS628353	GTEX-13OW8-3026-SM-5L3G8	RNA:Total RNA	Pituitary	<not provided>	1270341	985090	Pituitary	No	RNA Expression (NGS)	male	GTEX-13OW8-3026-SM-5L3G8	GTEX-13OW8	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02788471	none	150	Solexa-222981	4692	2138	SRR1343031	SRS628354	GTEX-Z9EW-0726-SM-5HL9H	RNA:Total RNA	Spleen	<not provided>	1272656	985200	Spleen	No	RNA Expression (NGS)	male	GTEX-Z9EW-0726-SM-5HL9H	GTEX-Z9EW	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02789340	none	150	Solexa-229345	8045	3712	SRR1343053	SRS628355	GTEX-13OW5-2526-SM-5L3I1	RNA:Total RNA	Testis	<not provided>	1270251	985087	Testis	No	RNA Expression (NGS)	male	GTEX-13OW5-2526-SM-5L3I1	GTEX-13OW5	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02789873	none	150	Solexa-230715	7459	3707	SRR1343072	SRS628356	GTEX-13OW6-2126-SM-5N9GL	RNA:Total RNA	Colon - Transverse	<not provided>	1270281	985088	Colon	No	RNA Expression (NGS)	male	GTEX-13OW6-2126-SM-5N9GL	GTEX-13OW6	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02789379	none	150	Solexa-211516	6813	3531	SRR1343093	SRS628357	GTEX-11P82-1426-SM-5BC5L	RNA:Total RNA	Skin - Not Sun Exposed (Suprapubic)	<not provided>	1268040	984969	Skin	No	RNA Expression (NGS)	male	GTEX-11P82-1426-SM-5BC5L	GTEX-11P82	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02792583	none	150	Solexa-232014	8514	4287	SRR1343115	SRS628358	GTEX-12WSE-0011-R11b-SM-5P9JW	RNA:Total RNA	Brain - Cerebellar Hemisphere	<not provided>	1268617	984999	Brain	No	RNA Expression (NGS)	male	GTEX-12WSE-0011-R11b-SM-5P9JW	GTEX-12WSE	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02791172	none	150	Solexa-206103	6428	2980	SRR1343136	SRS628359	GTEX-ZEX8-1826-SM-57WBH	RNA:Total RNA	Small Intestine - Terminal Ileum	<not provided>	1272941	985214	Small Intestine	No	RNA Expression (NGS)	male	GTEX-ZEX8-1826-SM-57WBH	GTEX-ZEX8	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02790718	none	150	Solexa-192522	5362	2677	SRR1343175	SRS628360	GTEX-ZPU1-1626-SM-4WWB2	RNA:Total RNA	Stomach	<not provided>	1273183	985227	Stomach	No	RNA Expression (NGS)	male	GTEX-ZPU1-1626-SM-4WWB2	GTEX-ZPU1	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02792142	none	150	Solexa-233632	5683	2656	SRR1343197	SRS628361	GTEX-145MG-0011-R5b-SM-5S2VU	RNA:Total RNA	Brain - Caudate (basal ganglia)	<not provided>	1270954	985130	Brain	No	RNA Expression (NGS)	male	GTEX-145MG-0011-R5b-SM-5S2VU	GTEX-145MG	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02790773	none	150	Solexa-228546	5500	2867	SRR1343221	SRS628377	GTEX-139TS-2926-SM-5KM1Z	RNA:Total RNA	Pituitary	<not provided>	1269373	985039	Pituitary	No	RNA Expression (NGS)	male	GTEX-139TS-2926-SM-5KM1Z	GTEX-139TS	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02788103	none	150	Solexa-227136	5994	3234	SRR1343239	SRS628378	GTEX-13FH7-2426-SM-5K7US	RNA:Total RNA	Nerve - Tibial	<not provided>	1269555	985051	Nerve	No	RNA Expression (NGS)	female	GTEX-13FH7-2426-SM-5K7US	GTEX-13FH7	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02791850	none	150	Solexa-216092	6032	2711	SRR1343257	SRS628379	GTEX-1314G-1526-SM-5EGK2	RNA:Total RNA	Skin - Sun Exposed (Lower leg)	<not provided>	1268956	985017	Skin	No	RNA Expression (NGS)	male	GTEX-1314G-1526-SM-5EGK2	GTEX-1314G	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02791601	none	150	Solexa-231945	6068	3068	SRR1343281	SRS628380	GTEX-144GL-0011-R7b-SM-5P9HX	RNA:Total RNA	Brain - Putamen (basal ganglia)	<not provided>	1270809	985120	Brain	No	RNA Expression (NGS)	male	GTEX-144GL-0011-R7b-SM-5P9HX	GTEX-144GL	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02792029	none	150	Solexa-232159	5495	2503	SRR1343302	SRS628381	GTEX-132NY-1126-SM-5PNVE	RNA:Total RNA	Adipose - Visceral (Omentum)	<not provided>	1269133	985025	Adipose Tissue	No	RNA Expression (NGS)	male	GTEX-132NY-1126-SM-5PNVE	GTEX-132NY	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02789451	none	150	Solexa-222994	5422	2601	SRR1343324	SRS628382	GTEX-ZA64-0826-SM-5HL9U	RNA:Total RNA	Stomach	<not provided>	1272670	985201	Stomach	No	RNA Expression (NGS)	male	GTEX-ZA64-0826-SM-5HL9U	GTEX-ZA64	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02792495	none	150	Solexa-223650	6228	2918	SRR1343347	SRS628383	GTEX-11DXW-0526-SM-5H127	RNA:Total RNA	Artery - Tibial	<not provided>	1267492	984942	Blood Vessel	No	RNA Expression (NGS)	male	GTEX-11DXW-0526-SM-5H127	GTEX-11DXW	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02793458	none	150	Solexa-194597	6324	3095	SRR1343369	SRS628384	GTEX-XMD2-2126-SM-4YCF8	RNA:Total RNA	Skin - Not Sun Exposed (Suprapubic)	<not provided>	1272119	985174	Skin	No	RNA Expression (NGS)	female	GTEX-XMD2-2126-SM-4YCF8	GTEX-XMD2	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02792581	none	150	Solexa-159843	5179	2295	SRR1343393	SRS628385	GTEX-TML8-0726-SM-4DXTT	RNA:Total RNA	Cervix - Endocervix	<not provided>	1271734	706559	Cervix Uteri	No	RNA Expression (NGS)	female	GTEX-TML8-0726-SM-4DXTT	GTEX-TML8	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02790883	none	150	Solexa-230578	6254	3071	SRR1343414	SRS628386	GTEX-11EM3-1626-SM-5N9CO	RNA:Total RNA	Colon - Sigmoid	<not provided>	1267632	984949	Colon	No	RNA Expression (NGS)	female	GTEX-11EM3-1626-SM-5N9CO	GTEX-11EM3	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02791180	none	150	Solexa-214186	5545	2843	SRR1343433	SRS628387	GTEX-Z9EW-0226-SM-5CVM7	RNA:Total RNA	Thyroid	<not provided>	1272651	985200	Thyroid	No	RNA Expression (NGS)	male	GTEX-Z9EW-0226-SM-5CVM7	GTEX-Z9EW	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
